"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
17;"LE BRENON À AUTREY";"02057600";931547;6829691;89777;2009-05-20;0,38;NA;1,4;13,3;9,53;186,2;186,2;1,47;NA;"";"espacée-régulière";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Brenon";15;26;41;62;0,654;29,801;5,219;7,854;8,412;0,849;0,612;0,562;12,306;2,79;19,85;12,277;13,854;2,291;1,617;1,419;5,584;20,456;2,681;0,981;0,01;0,446;0,636;2,29;0,187;0,147;2,293;101,307;0,039;3,245;2;0,982;30;0;0,433;3;23,596;69,663;6,742;2,033;142,8;0;10;"COTES CALCAIRES EST";0;1,14;14,159;204,183;16,631;0;0,149;-0,291;1,25;0,445;-0,347;0,644;0,744;-1,117;3,644;1,87;-0,396;1,785;9,556;"COTES CALCAIRES EST";"tres fort"
19;"LE RUISSEAU D'APACH À APACH";"02094920";945621;6934061;91509;2009-09-28;0,11;NA;0,4;4,5;2,95;63;63;0,38;NA;"";"semi-continue";"semi-continue";NA;"Qualif incertaine du fait pente semblant faible";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Apach";15;25;52;91,16;0,915;30,285;0,511;2,875;3,019;0,295;0,176;0,167;10,383;36,361;2,509;4,552;5,069;0,815;0,552;0,494;5,639;1,843;1,112;0,303;0,003;0,106;0,591;0,535;0,118;0,453;0,825;100,519;0,196;0,923;4;0,091;30;15;0,541;3;20,561;61,682;17,757;2,053;23,13;0;10;"COTES CALCAIRES EST";0;1,13;1,653;6,162;1,354;0;-0,22;-0,114;-0,635;-0,138;-1,962;-0,369;-1,096;-0,437;-1,853;-0,582;-2,241;-1,022;7,231;"COTES CALCAIRES EST";"moyen"
21;"LA MEHOLLE À VOID-VACON";"02107900";891984;6841437;92521;2009-06-09;0,18;NA;0,6;7,5;4;180;105;0,3;NA;"";"continue";"continue";NA;"station de référence hydro-morpho

Qualification incertaine du fait d'un nombre de points trop faible transects 11 23 24";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Meholle";25;14;24;35,48;0,719;16,715;1,643;4,856;5,111;0,527;0,317;0,299;11,403;14,146;6,422;7,942;8,66;1,251;0,805;0,736;6,622;2,167;1,283;0,457;0,005;0,26;0,775;0,705;0,089;0,212;1,253;100,699;0,078;0,479;7;0,29;50;1;0,65;3;17,188;73,047;9,766;2,026;58,61;0;10;"COTES CALCAIRES EST";0;1,14;5,328;15,68;1,974;0;0,018;-0,039;0,271;0,06;-2,064;0,032;0,092;-0,148;0,79;0,253;-2,359;0,088;3,729;"COTES CALCAIRES EST";"tres faible"
22;"LE DORLON À CHARENCY-VEZIN";"02115762";882668;6935207;92963;2009-07-01;0,15;NA;0,9;6,4;4,73;89,6;89,6;24,5;NA;"";"continue";"continue";NA;"batonnets perdus

Qualification incorrecte du fait
problème dans la distance inter points mesurée sur le terrain /trop faible";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dorlon";15;7;21,5;61,32;1,452;10,079;0,665;4,075;4,203;0,314;0,166;0,16;15,227;4,885;2,306;6,546;6,769;0,614;0,356;0,344;11,139;82,56;0,865;0,7;0,007;0,129;0,74;1,396;0,213;0,392;0,622;99,211;0,212;33,263;3;0,077;30;0;1,299;2;46,316;44,211;9,474;1,892;24,43;0;10;"COTES CALCAIRES EST";0;1,03;1,306;313,891;47,952;0;0,124;0,562;-0,817;-0,435;2,212;-0,485;0,618;2,158;-2,383;-1,828;2,528;-1,344;10,859;"COTES CALCAIRES EST";"tres fort"
26;"L'AUBE A AUBERIVE 3";"03014130";855921;6744056;94535;2009-09-08;0,08;NA;0;5,66;4,12;79;79,24;0,74;NA;"";"semi-continue";"semi-continue";NA;"pente semblant très faible";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Aube";15;6;15;85;1,709;7,942;0,742;4,279;4,439;0,295;0,166;0,16;15,484;13,453;3,853;6,543;7,045;0,857;0,587;0,544;7,681;3,946;0,939;0,314;0,003;0,113;0,652;0,98;0,15;0,254;0,86;100,535;0,107;1,063;4;0,08;30;29;0,736;2;23,239;8,451;68,31;1,321;45,26;0;10;"COTES CALCAIRES EST";0;1,14;4,757;34,533;5,278;0;-0,087;0,134;-0,942;-0,254;-1,199;-0,329;-0,433;0,513;-2,748;-1,07;-1,37;-0,912;7,046;"COTES CALCAIRES EST";"moyen"
29;"LA RIVIÈRE DE DRUYES A ANDRYES 1";"03025919";734083;6715110;95817;2009-07-20;0,344;NA;1,8;14;12,8;196;196;0,981;NA;"";"espacée-régulière";"espacée-régulière";NA;"A1 = aval rive droite
B1 = amont rive droite
B1 peut-être = 30";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Druyes";15;3,84;14;43,28;Inf;5,744;4,044;11,308;11,471;0,499;0,357;0,352;23,008;5,446;16,231;14,24;14,959;1,447;1,139;1,084;9,855;10,433;2,922;0,561;0,006;0,124;0,352;0,905;0,064;0,181;1,449;100,854;0,054;1,982;3;0,082;30;0;0,231;3;56,863;43,137;0;1,667;168,78;0,007;10;"COTES CALCAIRES EST";0;1,04;5,324;51,236;3,598;0;0,241;0,262;-1,276;-0,056;-0,727;0,346;1,197;1,007;-3,721;-0,236;-0,831;0,958;7,951;"COTES CALCAIRES EST";"fort"
31;"LE SEREIN A MOLAY 1";"03035455";770225;6738562;97263;2009-07-27;1,246;NA;2,15;23;15,5;322;322;1,49;NA;"";"semi-continue";"semi-continue";NA;"A1 = Amont rive droite
B1 = Aval rive droite";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Serein";15;12;36;101,6;1,635;22,057;6,079;11,802;12,034;0,8;0,498;0,488;15,657;8,571;29,684;22,516;23,337;2,208;1,332;1,282;10,195;18,742;11,591;0,884;0,009;0,277;0,545;4,592;0,204;0,402;2,217;101,174;0,112;7,781;5;0,192;30;2;0,39;3;8,046;70,115;21,839;1,91;781,84;0,301;10;"COTES CALCAIRES EST";0;1,37;62,513;913,746;40,582;0;0,175;0,155;-0,844;-0,014;-0,089;0,06;0,869;0,597;-2,461;-0,057;-0,101;0,167;4,253;"COTES CALCAIRES EST";"tres faible"
32;"LE SEREIN A PONTIGNY 2";"03036070";751685;6758376;97333;2009-08-03;1,485;NA;2;63;14,8;882;882;0,75;NA;"";"continue";"bosquets éparses";NA;"Pente mesurée sur les 300 mètres de la station de pêche
Bâtonnets perdus";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Serein";15;11;23;45,16;1,102;13,851;12,652;17,491;17,853;0,949;0,546;0,534;23,66;6,515;71,564;40,35;42,175;2,88;1,813;1,716;14,34;12,628;18,304;1,247;0,012;0,782;1,119;15,951;0,395;0,301;2,885;101,606;0,074;3,927;4;0,711;30;2;0,548;4;17,089;80,38;2,532;1,949;1265,16;0,186;10;"COTES CALCAIRES EST";0;1,48;71,295;524,553;13;0;0,593;0,452;0,335;0,133;-0,706;0,661;2,953;1,738;0,976;0,558;-0,806;1,833;8,864;"COTES CALCAIRES EST";"fort"
36;"LE ROGNON A BOURDONS-SUR-ROGNON 3";"03093900";872074;6792721;101443;2009-09-11;0,22;NA;1,07;14,17;7,5;196;198,38;0,28;NA;"";"semi-continue";"absence";NA;"qualif incertaine pente trop faible/ manque T15/ pas de fiche terrain";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Rognon";14;1,84;11;30,48;1,859;2,865;2,55;7,327;7,525;0,565;0,341;0,33;14,825;10,797;13,598;12,704;13,491;1,635;1,094;1,021;7,969;2,806;2,492;0,623;0,006;0,238;0,672;2,607;0,205;0,187;1,636;101,045;0,058;0,558;2;0,56;28;0;0,231;3;26,882;37,634;35,484;2,299;170,59;0;10;"COTES CALCAIRES EST";0;1,14;22,423;61,591;4,848;0;0,123;0,049;0,64;0,063;-1,979;0,163;0,611;0,187;1,865;0,265;-2,262;0,45;5,64;"COTES CALCAIRES EST";"faible"
153;"DURGEON A PONTCEY ";"06003500";927708;6730517;144539;2009-08-20;0,662;NA;2,5;22;18;308;308;0,97;NA;"";"semi-continue";"isolée";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Durgeon";15;55;76,5;119,16;0,549;62,632;9,094;16,771;17,026;0,81;0,56;0,549;28,846;3,485;41,835;23,326;24,425;2,433;1,841;1,748;10,063;16,637;6,59;0,984;0,01;0,357;0,676;6,481;0,278;0,161;2,435;101,475;0,038;2,816;3;0,326;30;4;0,271;4;28,431;65,686;5,882;2,11;379,45;0;10;"COTES CALCAIRES EST";0;1,14;34,975;332,812;14,268;0;0,457;0,209;-0,119;0,263;-0,622;0,823;2,275;0,802;-0,347;1,104;-0,711;2,28;7,519;"COTES CALCAIRES EST";"fort"
