"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
2;"L'HELPE MINEURE À MAROILLES (59)";"01006000";757929;7002371;165945;2009-09-17;0,272;0,871;1,1;15;8,13;210;210;1,43;NA;"";"isolée";"espacée-régulière";NA;"De la rive gauche (A1) à la rive droite (A4)";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Helpe mineure";15;16,84;34,5;50,16;0,786;19,854;2,493;9,132;9,289;0,444;0,281;0,275;28,587;6,817;37,325;15,772;18,37;3,173;2,371;2,035;5,009;28,547;15,452;1,184;0,012;0,2;0,736;1,677;0,106;0,418;3,182;102,588;0,087;13,883;4;0,25;30;4;0,043;4;16,129;76,613;7,258;1,904;248,65;0,097;20;"DEPOTS ARGILO SABLEUX";0;1,17;11,074;155,349;9,85;0;0,174;-0,177;0,332;0,35;0,556;0,575;0,402;-0,685;0,208;0,823;0,67;0,884;3,673;"Plaine/collinéen détritique";"tres faible"
3;"LA SAMBRE RIVIÈRE À BERGUES SUR SAMBRE (02)";"01009300";751051;6993135;165948;2009-07-08;0,017;0,111;0,55;7;3,82;100;98;4,7;NA;"";"semi-continue";"bosquets éparses";NA;"Depuis la RG";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sambre";15;18;28,5;46;0,736;20,785;0,59;2,985;3,148;0,32;0,202;0,185;12,022;1,292;5,751;6,624;7,634;1,445;0,873;0,757;4,629;34,914;0,423;0,594;0,006;0,151;0,788;1;0,151;0,075;1,446;100,895;0,026;2,998;3;0,247;30;0;0,101;1;23,864;75;1,136;1,738;20,53;0;20;"DEPOTS ARGILO SABLEUX";0;1,18;1,215;56,02;8,458;0;0,17;-0,081;0,618;0,246;0,233;0,309;0,389;-0,372;0,495;0,555;0,162;0,393;2,366;"Plaine/collinéen détritique";"tres faible"
6;"L'YSER À BAMBECQUE (59)";"01089000";668113;7089155;165978;2009-08-18;0,018;0,164;0,75;16,07;5,3;225;224,98;1,33;NA;"";"isolée";"isolée";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Yser";15;18,84;49;87,16;1,093;26,081;1,931;5,737;6,176;0,571;0,341;0,318;18,988;0,548;26,218;14,606;17,188;3,204;1,802;1,545;4,601;20,157;0,701;1,241;0,012;0,241;0,706;1,328;0,091;0,027;3,204;102,483;0,006;0,631;3;0,558;30;16;0,029;1;86,441;10,169;3,39;1,589;245,8;1;20;"DEPOTS ARGILO SABLEUX";0;1,11;0;0;0;0;0,101;-0,262;1,137;0,363;0,476;0,23;0,135;-0,958;1,013;0,857;0,545;0,246;3,754;"Plaine/collinéen détritique";"tres faible"
76;"DHUY à SANDILLON";"04051125";628799;6746263;117353;2009-06-30;0,049;NA;0,83;8,73;5,83;122;122,22;0,16;NA;"";"isolée";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dhuy";15;39,68;51,5;59,16;0,329;41,59;1,218;4,817;4,947;0,315;0,239;0,232;15,529;8,42;10,391;8,414;9,518;1,659;1,235;1,09;5,082;1,711;1,172;0,671;0,007;0,106;0,421;0,599;0,071;0,115;1,659;101,335;0,034;0,22;2;0,105;30;0;NA;1;74,737;20;5,263;1,684;136,21;0,39;20;"DEPOTS ARGILO SABLEUX";0;1,15;3,888;6,103;0,725;0;-0,246;-0,121;-0,461;-0,134;-2;-0,316;-1,141;-0,501;-0,585;-0,433;-3,346;-0,761;6,768;"Plaine/collinéen détritique";"moyen"
229;"L'HOGNEAU À GUSSIGNIES (59)";"01001336";752673;7026489;165939;2010-08-25;0,215;NA;1,3;20,27;9,6;280;NA;2,38;NA;"";"continue";"continue";NA;"sur toute la station présence d'ardoise / pierre bleue très abondante
13 transects car les 2 derniers étaient trop dangereux /hauteur de mur trop importante/";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hogneau";13;34,84;58;92,16;0,664;41,57;1,986;7,025;7,19;0,451;0,277;0,269;17,984;5,325;39,026;18,296;20,4;3,36;2,141;1,916;5,451;44,743;15,642;1,263;0,013;0,205;0,733;2,807;0,153;0,41;3,369;102,649;0,09;20,434;3;0,256;26;3;1,299;2;11,94;62,687;25,373;1,962;89,46;0,045;20;"DEPOTS ARGILO SABLEUX";0;1,16;5,821;135,908;7,428;0;0,676;-0,021;0,481;0,687;0,445;1,278;2,25;-0,178;0,357;1,699;0,496;2,18;7,16;"Plaine/collinéen détritique";"moyen"
280;"La Bonnieure au pont des Pins";"05020000";497662,62;6527857,5;136545;2010-10-07;NA;NA;1,24;9,82;8,62;137;NA;1,24;NA;"batonnet 2 du radier 2 non retrouvé: problème de pietinnement de bovins.";"semi-continue";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonnieure";15;12;26,5;50;1,066;14,606;2,83;7,332;7,55;0,521;0,374;0,361;17,992;12,509;9,023;9,928;10,693;1,223;0,929;0,856;8,558;10,407;3,582;0,504;0,005;0,238;0,634;2,02;0,203;0,411;1,232;100,626;0,141;4,523;2;0,249;30;1;0,39;3;23,077;51,648;25,275;2,067;138,75;0,326;20;"DEPOTS ARGILO SABLEUX";0;1,12;15,876;193,122;19,452;0;-0,087;0,399;0,4;-0,444;0,059;-0,469;-0,556;1,184;0,276;-1,236;-0,11;-1,044;4,407;"Plaine/collinéen détritique";"tres faible"
387;"THARONNE à NEUNG-SUR-BEUVRON";"04052265";611840;6719049;117496;2010-06-08;0,036;NA;0,42;4,6;2,96;64,4;NA;0,62;NA;"Pas de radier _ pas de pose de bâtonnets.";NA;NA;NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Tharonne";15;11;17;26,48;0,794;12,901;0,417;3,338;3,427;0,195;0,126;0,123;18,01;14,027;3,425;4,735;5,527;0,91;0,724;0,621;5,203;3,777;0,871;0,338;0,003;0,059;0,47;0,327;0,069;0,256;0,913;100,699;0,096;1,123;3;0,063;30;3;NA;NA;82,54;17,46;0;1,2;62,18;0,603;20;"DEPOTS ARGILO SABLEUX";0;1,07;2,407;14,64;3,092;0;-0,549;-0,042;-0,885;-0,52;-1,121;-0,921;-2,257;-0,246;-1,009;-1,434;-1,965;-1,878;8,789;"Plaine/collinéen détritique";"fort"
389;"BONNE HEURE à BAUZY";"04052520";597675;6713709;117541;2010-06-08;0,006;NA;0,35;11,53;2,47;161,4;NA;0,3;NA;"Digue d'étang en rive gauche. Lpb sur-dimensionnée/lit mouillé.
Pas de radier donc pas de granulométrie : uniquement du sable.
Radier A = aval ; radier B = amont
bâtonnet 3 radier B en partie hors radier.";"semi-continue";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonne heure";15;NA;NA;NA;NA;NA;0,502;3,054;3,222;0,229;0,133;0,125;18,159;2,759;10,772;9,628;10,818;1,713;1,149;1,017;5,706;2,993;0,521;0,634;0,006;0,13;0,797;1,898;0,197;0,049;1,713;101,46;0,015;0,166;4;0,197;30;2;0,541;3;97,276;2,724;0;0,676;101,02;0,508;20;"DEPOTS ARGILO SABLEUX";0;1,21;3,408;10,03;1,042;0;-0,008;0,016;0,202;-0,02;-1,552;-0,088;-0,265;-0,058;0,078;-0,136;-2,643;-0,34;3,52;"Plaine/collinéen détritique";"tres faible"
392;"BONNEE à GERMIGNY-DES-PRES";"04049800";643594;6750297;117292;2011-05-12;0,141;NA;0,75;13,2;5,23;185;NA;0,38;NA;"";"semi-continue";"semi-continue";NA;"";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Bonnee";15;17;31;47,16;0,802;20,493;0,9;5,484;5,824;0,398;0,158;0,149;19,097;28,631;20,492;12,122;14,05;2,398;1,694;1,465;5,131;5,46;14,751;0,882;0,009;0,193;1,124;2,139;0,176;0,745;2,427;101,994;0,183;4,697;3;0,532;30;0;NA;2;91,791;8,209;0;0,456;182,89;0,202;20;"DEPOTS ARGILO SABLEUX";0;1,29;6,868;25,603;2,112;0;0,017;-0,132;1,125;0,154;-0,956;0,173;-0,174;-0,537;1,002;0,315;-1,706;0,142;3,876;"Plaine/collinéen détritique";"tres faible"
395;"ARDOUX à CLERY-SAINT-ANDRE";"04051650";609221;6746388;117425;2011-05-16;0;NA;0,3;5,23;2,06;73;NA;1,4;NA;"";"continue";"continue";NA;"Milieu forestier. Cours d'eau presque en rupture d'écoulement le jour des mesures et assec le jours de relève des batonnets. plus 1 batonnet extrait du substrat.";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ardoux";15;18;25;35;0,522;20,212;0,13;1,754;1,787;0,11;0,068;0,066;26,051;0,252;3,274;4,505;5,216;0,988;0,728;0,626;4,571;8,598;0,023;0,369;0,004;0,062;0,846;0,778;0,173;0,007;0,988;100,823;0,003;0,071;3;0,066;30;0;1,083;2;79,646;19,469;0,885;0,93;94,41;0,987;20;"DEPOTS ARGILO SABLEUX";0;1,04;1,625;22,318;4,954;0;-0,744;-0,201;-0,877;-0,551;-0,053;-1,235;-2,971;-0,761;-1,001;-1,516;-0,287;-2,457;8,993;"Plaine/collinéen détritique";"fort"
