"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
4;"L'ESCAUT RIVIÈRE À CRÉVECOEUR SUR ESCAUT (59)";"01010000";717769;7000673;165949;2009-07-01;1,007;NA;0,7;14,2;4,9;198,8;198,8;3,2;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Escaut";15;23;65,5;105,16;1,086;29,698;2,818;5,638;6,101;0,792;0,5;0,459;7,447;10,611;15,993;13,061;14,275;2,165;1,227;1,123;6,047;35,262;10,373;0,738;0,007;0,234;0,449;1,404;0,107;0,658;2,188;101,078;0,191;25,202;3;0,165;30;0;0,188;4;63,025;29,412;7,563;1,732;399,65;0;9;"TABLES CALCAIRES";0;1,01;14,581;457,727;35,046;1;-0,029;-0,286;-0,344;0,228;0,906;0,029;-0,112;-0,749;-0,729;0,67;1,125;0,065;3,449;"TABLES CALCAIRES";"tres faible"
5;"LA CLARENCE À CHOCQUES (62)";"01069000";669615;7048933;165974;2009-09-10;0,358;0,473;0,8;8,07;5,46;113;112,98;0,88;NA;"";"bosquets éparses";"continue";NA;"1 radier échantillonné sur la station
Depuis la RG";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Clarence";15;33;50;75,32;0,627;36,98;1,722;4,713;4,941;0,527;0,365;0,348;9,076;14,173;8,528;7,496;8,585;1,665;1,148;0,998;4,5;8,616;3,581;0,671;0,007;0,162;0,446;1,121;0,15;0,424;1,675;101,098;0,127;4,208;3;0,086;30;0;0,39;4;53,125;43,75;3,125;1,94;80,89;0,054;9;"TABLES CALCAIRES";0;1,07;2,391;20,641;2,754;0;-0,097;-0,429;-0,821;0,299;-1,071;0,241;-0,371;-1,126;-1,74;0,879;-1,33;0,532;5,977;"TABLES CALCAIRES";"faible"
7;"LA SLACK À AMBLETEUSE (62)";"01090000";611011;7078271;165979;2009-06-17;0,09;0,1;0,7;9,6;4,85;133;134,4;5,3;NA;"";"semi-continue";"semi-continue";NA;"Depuis la rive gauche";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Slack";15;63,84;97;135,48;0,566;74,54;1,294;4,74;4,967;0,431;0,279;0,261;18,699;2,34;17,631;10,325;12,52;2,683;1,713;1,41;3,878;73,312;3,776;1,076;0,011;0,215;0,802;0,908;0,088;0,215;2,685;101,898;0,053;19,153;3;0,199;30;0;0,39;3;35,833;58,333;5,833;2,095;37,05;0,033;9;"TABLES CALCAIRES";0;1,28;2,935;152,599;14,779;0;0,462;-0,504;0,095;0,939;0,389;1,378;1,767;-1,322;0,202;2,76;0,482;3,04;9,573;"TABLES CALCAIRES";"tres fort"
8;"LA LIANE À WIRWIGNES (62)";"01092000";611146;7063387;165981;2009-06-18;0,63;0,669;0,95;18,92;6,6;265;264,88;1,6;NA;"";"bosquets éparses";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Liane";15;20;34;66;0,792;23,892;3,033;7,98;8,256;0,664;0,389;0,371;14,815;10,062;57,33;19,895;22,795;4,654;2,89;2,52;4,3;39,561;42,733;1,722;0,017;0,282;0,762;2,365;0,119;0,756;4,683;103,808;0,143;34,139;4;0,362;30;0;0,087;4;55,556;41,667;2,778;1,947;127,48;0;9;"TABLES CALCAIRES";0;1,17;12,237;192,072;9,654;0;0,74;-0,518;0,564;1,232;-0,278;1,907;2,833;-1,358;1,195;3,621;-0,345;4,208;13,561;"TABLES CALCAIRES";"tres fort"
9;"LA HEM  À RECQUES SUR HEM (62)";"01115000";635636;7082384;165993;2009-09-10;0,346;0,417;1,2;10,63;8,28;170;148,82;3,82;NA;"";"semi-continue";"bosquets éparses";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Hem ";17;25;38;63,32;0,632;28,65;1,861;8,059;8,243;0,397;0,241;0,234;27,817;7,931;12,705;10,929;11,967;1,518;1,171;1,064;7,359;39,888;6,492;0,62;0,006;0,197;0,86;1,804;0,165;0,52;1,532;100,81;0,154;22,783;3;0,331;34;15;0,35;4;6,202;84,496;9,302;1,686;127,59;0,076;9;"TABLES CALCAIRES";0;1,01;7,563;283,417;25,932;0;0,141;0,019;0,474;0,111;0,593;0,4;0,54;0,05;1,004;0,327;0,736;0,882;3,539;"TABLES CALCAIRES";"tres faible"
10;"LA SOMME RIVIÈRE À MORCOURT (02)";"01116000";722809;6975617;165994;2009-07-09;0,324;NA;0,6;8,08;3,98;112;113,12;3,93;NA;"";"semi-continue";"absence";"Contrôle de surveillance des cours d'eau du bassin Escaut, Somme et cours d'eau côtiers de la Manche et de la Mer du Nord";"pour les bâtons depuis la RG
Pour la granulo du radier, celui-ci se situe 10 m en amont de la fin de la station, en aval du pont.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Somme";15;18;30;53,16;0,77;21,555;1,025;3,209;3,505;0,433;0,315;0,287;7,638;11,588;5,333;5,848;6,854;1,426;0,917;0,777;4,121;29,944;3,274;0,589;0,006;0,137;0,427;1,003;0,172;0,636;1,447;100,792;0,213;22,393;4;0,117;30;2;NA;3;34,091;55,682;10,227;1,739;102,33;0;9;"TABLES CALCAIRES";0;1,2;4,649;179,234;30,65;0;-0,417;-0,54;-0,544;0,095;0,526;-0,352;-1,596;-1,415;-1,154;0,278;0,653;-0,777;5,873;"TABLES CALCAIRES";"faible"
11;"LES ÉVOISSONS À BERGICOURT (80)";"01138300";629186;6960867;166000;2009-08-21;0,487;NA;1,1;10,4;7,65;147;145,6;1,66;NA;"";"semi-continue";"semi-continue";NA;"Pas de station hydro à proximité.
Bâtonnets depuis la RG. Sur un des 2 radiers les bâtons ont disparu.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Evoissons";15;13;22;38,16;0,856;15,937;1,968;7,7;7,845;0,401;0,263;0,257;22,377;15,011;6,802;10,704;11,049;0,925;0,642;0,622;11,89;10,123;3,03;0,372;0,004;0,141;0,544;1,642;0,153;0,451;0,936;100,414;0,18;4,724;3;0,094;30;0;0,39;4;47,619;52,381;0;1,726;95,1;0;9;"TABLES CALCAIRES";0;1,07;3,252;52,958;4,947;0;0,21;0,527;-0,75;-0,323;-0,367;-0,07;0,804;1,382;-1,589;-0,948;-0,456;-0,155;5,334;"TABLES CALCAIRES";"faible"
25;"L'ARDUSSON A FERREUX-QUINCEY 2";"03011840";744712;6817768;94292;2009-07-22;0,05;NA;0,9;7,4;6,23;104;103,6;5,73;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ardusson";15;3;13;42,32;1,941;4,659;0,87;4,794;5,003;0,341;0,173;0,164;21,755;2,534;2,592;6,588;6,922;0,643;0,391;0,369;11,639;20,768;0,256;0,356;0,004;0,168;0,869;1,145;0,174;0,108;0,643;100,006;0,057;2,259;5;0,342;30;11;0,469;2;37,755;28,571;33,673;2,034;127,99;0;9;"TABLES CALCAIRES";0;1,16;4,603;258,741;39,275;0;-0,366;0,477;0,506;-0,749;0,999;-1,191;-1,401;1,252;1,073;-2,203;1,241;-2,628;9,798;"TABLES CALCAIRES";"tres fort"
27;"LA SUPERBE A MARIGNY 1";"03020650";764066;6842557;95023;2009-07-16;0,28;NA;1,3;10,7;9,3;154;149,8;0,96;NA;"";"semi-continue";"semi-continue";NA;"Présence d'un pont au milieu de la station";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Superbe";15;3;6,5;17;1,234;3,688;2,839;8,662;8,928;0,556;0,335;0,321;20,106;6,782;11,295;10,876;11,677;1,396;1,044;0,969;8,144;9,122;2,324;0,549;0,005;0,234;0,684;1,892;0,174;0,213;1,398;100,766;0,067;2,075;4;0,367;30;4;0,931;2;48,214;49,107;2,679;1,731;320,24;0,284;9;"TABLES CALCAIRES";0;1,13;13,882;130,735;12,02;0;-0,145;0,033;0,48;-0,165;-0,393;-0,202;-0,554;0,087;1,017;-0,486;-0,488;-0,446;3,076;"TABLES CALCAIRES";"tres faible"
33;"L'ANCRE A ESTISSAC 1";"03043450";761735;6793806;98160;2009-07-23;0,19;NA;0,85;5,93;5,73;80;80,22;3,65;NA;"";"continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ancre";15;4;11;25,16;1,303;4,697;0,664;4,596;4,747;0,247;0,145;0,139;21,07;17,656;3,848;6,095;6,677;0,837;0,629;0,568;7,374;20,344;2,816;0,37;0,004;0,084;0,56;1,54;0,253;0,813;0,876;100,477;0,331;18,017;5;0,12;30;0;0,595;3;41,304;56,522;2,174;1,816;78,84;0,228;9;"TABLES CALCAIRES";0;1,13;2,48;88,8;14,569;0;-0,296;0,067;-0,491;-0,383;0,34;-0,541;-1,133;0,176;-1,042;-1,127;0,422;-1,195;5,094;"TABLES CALCAIRES";"faible"
