"Latitude","Longitude","Code de l'entité","Libellé","Surface de bassin versant hydrologique (km²)","Surface de bassin versant topographique (km²)","Débit (m³/s)","Intervalle de confiance","Taille de l'échantillon"
"16.1894025","-61.6589896","10110001","[Barbotteau] à Petit-Bourg","","13.9","","0.95","5"
"16.1894025","-61.6589896","1011000101","[Barbotteau] à Petit-Bourg - Barbotteau","","13.9","","0.95","5"
"16.1958293","-61.6519498","10110002","[Grande riviere a goyave] à Petit-Bourg","","","","0.95","1"
"16.1958293","-61.6519498","1011000201","[Grande riviere a goyave] à Petit-Bourg - Petit-Bourg [canal d'Arnouville]","","","","0.95","1"
"16.1939544","-61.6556103","10110003","[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg","","","15.5","0.95","7"
"16.1939544","-61.6556103","1011000301","[La Grande Rivière à Goyaves à Petit-Bourg-Barboteau] à Petit-Bourg - La Grande Rivière à Goyaves à Petit-Bourg [Barboteau pont de la Traversée]","","","15.5","0.95","7"
"16.158271","-61.6727784","10110004","[La Grande Rivière à Goyaves à Petit-Bourg [Vernou]] à Petit-Bourg","","","","0.95","0"
"16.158271","-61.6727784","1011000401","[La Grande Rivière à Goyaves à Petit-Bourg [Vernou]] à Petit-Bourg - Vernou","","","","0.95","0"
"16.1759977","-61.6931997","10150001","La rivière Bras David à Petit-Bourg [Maison Forêt]","","11","","0.95","4"
"16.1759977","-61.6931997","1015000101","La rivière Bras David à Petit-Bourg [Maison Forêt]","","11","","0.95","4"
"16.1991369","-61.6664359","10160001","[Prise d'eau Duclos] à Petit-Bourg","","37.4","","0.95","0"
"16.1991369","-61.6664359","1016000101","[Prise d'eau Duclos] à Petit-Bourg - Duclos","","37.4","","0.95","0"
"16.2028221","-61.6572339","10160002","[La rivière Bras David à Petit-Bourg [cote 110]] à Petit-Bourg","","","44.7","0.95","9"
"16.2028221","-61.6572339","1016000201","[La rivière Bras David à Petit-Bourg [cote 110]] à Petit-Bourg - La rivière Bras David à Petit-Bourg [cote 110]","","","44.7","0.95","9"
"16.1934334","-61.6733854","10160003","[Petit-Bourg [cote 130]] à Petit-Bourg [Riviere bras david]","","","","0.95","6"
"16.1934334","-61.6733854","1016000301","[Petit-Bourg [cote 130]] à Petit-Bourg [Riviere bras david]","","","","0.95","6"
"16.2051186","-61.6530933","10200001","[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90]","","","45.6","0.95","29"
"16.2051186","-61.6530933","1020000101","[Grande riviere a goyave] à Petit-Bourg [Prise d'eau, cote 90] - Petit-Bourg [Prise d'eau cote 90]","","","45.6","0.95","29"
"16.2253087","-61.6686817","10210001","[Lamentin [Ravine Chaude]] à Lamentin [Lamentin [Ravine Chaude]]","","","","0.95","2"
"16.2253087","-61.6686817","1021000101","[Lamentin [Ravine Chaude]] à Lamentin [Lamentin [Ravine Chaude]] - Lamentin [Ravine Chaude]","","","","0.95","2"
"16.2797117","-61.6681301","10250001","[La Boucan] à Sainte-Rose","","137.1","107","0.95","8"
"16.2797117","-61.6681301","1025000101","[La Boucan] à Sainte-Rose - BOUCAN","","137.1","107","0.95","8"
"16.2719412","-61.6679935","10250002","[Sainte-Rose [Bonne Mere]] à Sainte-Rose [Grande riviere a goyave]","","","","0.95","0"
"16.2719412","-61.6679935","1025000201","[Sainte-Rose [Bonne Mere]] à Sainte-Rose [Grande riviere a goyave] - Sainte-Rose [Bonne Mere]","","","","0.95","0"
"16.2938701","-61.71777","10400001","[Ravine Bleue] à Sainte-Rose","","5.7","","0.95","5"
"16.2938701","-61.71777","1040000101","[Ravine Bleue] à Sainte-Rose - Ravbleue","","5.7","","0.95","5"
"16.2967984","-61.7151137","10400002","[Sainte-Rose [Forêt de Marolles]] à Sainte-Rose [Riviere moustique sainte-rose]","","","","0.95","3"
"16.2967984","-61.7151137","1040000201","[Sainte-Rose [Forêt de Marolles]] à Sainte-Rose [Riviere moustique sainte-rose] - Sainte-Rose [Forêt de Marolles]","","","","0.95","3"
"16.3360325","-61.7450074","10440001","[Riviere nogent] à Sainte-Rose","","","","0.95","3"
"16.3360325","-61.7450074","1044000101","[Riviere nogent] à Sainte-Rose - La rivière Nogent à Sainte-Rose [Pont de Nogent]","","","","0.95","3"
"16.1578541","-61.6278062","11100001","[Prise d'eau] à Petit-Bourg [TRIANON]","","11.5","8.50","0.95","11"
"16.1579414","-61.6278924","1110000101","[Prise d'eau] à Petit-Bourg [TRIANON] - TRIANON","","11.5","8.50","0.95","11"
"16.181952","-61.6021242","11110001","[pont RN] à Petit-Bourg","","18","","0.95","1"
"16.181952","-61.6021242","1111000101","[pont RN] à Petit-Bourg","","18","","0.95","1"
"16.1496535","-61.5973525","11120001","[Riviere la rose] à Goyave [cote 75]","","","","0.95","1"
"16.1496535","-61.5973525","1112000101","[Riviere la rose] à Goyave [cote 75] - Goyave [cote 75]","","","","0.95","1"
"16.1801269","-61.6471929","11130001","[Riviere lezarde] à Petit-Bourg [cote 85]","","","8.46","0.95","7"
"16.1801269","-61.6471929","1113000101","[Riviere lezarde] à Petit-Bourg [cote 85] - Petit-Bourg [cote 85]","","","8.46","0.95","7"
"16.0719298","-61.6093815","11200001","[Prise d'eau] à Capesterre-Belle-Eau [DIGUE]","","137.1","22.3","0.95","12"
"16.0719298","-61.6093815","1120000101","[Prise d'eau] à Capesterre-Belle-Eau [DIGUE] - Capesterre - La DIGUE","","137.1","22.3","0.95","12"
"16.0570363","-61.5660882","11200002","[pont RN] à Capesterre-Belle-Eau","","23.5","","0.95","1"
"16.0570363","-61.5660882","1120000201","[pont RN] à Capesterre-Belle-Eau","","23.5","","0.95","1"
"16.066805","-61.5854467","11200003","[Capesterre-Belle-Eau [cote 95]] à Capesterre-Belle-Eau","","","28.8","0.95","9"
"16.066805","-61.5854467","1120000301","[Capesterre-Belle-Eau [cote 95]] à Capesterre-Belle-Eau - Capesterre-Belle-Eau [cote 95]","","","28.8","0.95","9"
"16.0575595","-61.6034018","11210001","[Riviere du Perou] à Capesterre-Belle-Eau [cote 205]","","","","0.95","0"
"16.0575595","-61.6034018","1121000101","[Riviere du Perou] à Capesterre-Belle-Eau [cote 205] - Capesterre-Belle-Eau [cote 205] - Perou","","","","0.95","0"
"16.0397147","-61.6056197","11220001","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Amont prise Marquis]","","","24.3","0.95","10"
"16.0397147","-61.6056197","1122000101","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Amont prise Marquis] - Capesterre-Belle-Eau [amont prise Marquis]","","","24.3","0.95","10"
"16.0225311","-61.5750216","11220002","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Cote 15]","","","","0.95","2"
"16.0225311","-61.5750216","1122000201","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Cote 15] - Capesterre-Belle-Eau [cote 15] - Riviere du Grand Carbet","","","","0.95","2"
"16.0453899","-61.6236933","11220003","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Barrage]","","","16.8","0.95","30"
"16.0453899","-61.6236933","1122000301","[Riviere du Grand Carbet] à Capesterre-Belle-Eau [Barrage] - La rivière du Grand Carbet à Capesterre-Belle-Eau [Barrage]","","","16.8","0.95","30"
"16.1237407","-61.6152063","11230001","[riviere Moreau] à Goyave [cote 170]","","","","0.95","1"
"16.1237407","-61.6152063","1123000101","[riviere Moreau] à Goyave [cote 170] - Goyave [cote 170] - Moreau","","","","0.95","1"
"16.1272636","-61.5873372","11240001","[Petite Riviere A Goyave] à Goyave","","","39.6","0.95","8"
"16.1272636","-61.5873372","1124000101","[Petite Riviere A Goyave] à Goyave - cote 10","","","39.6","0.95","8"
"16.1000018","-61.562457","11260001","[riviere Sainte Marie] à Capesterre-Belle-Eau","","","","0.95","5"
"16.1000018","-61.562457","1126000101","[riviere Sainte Marie] à Capesterre-Belle-Eau - La rivière Sainte Marie à Capesterre-Belle-Eau","","","","0.95","5"
"15.9632116","-61.6595121","11310001","[Pont RD] à Trois-Rivières [Grande Anse]","","16","","0.95","3"
"15.9632116","-61.6595121","1131000101","[Pont RD] à Trois-Rivières [Grande Anse]","","16","","0.95","3"
"16.0191586","-61.6092763","11340001","[riviere Bananier] à Capesterre-Belle-Eau [Pont Thévenin]","","","","0.95","1"
"16.0191586","-61.6092763","1134000101","[riviere Bananier] à Capesterre-Belle-Eau [Pont Thévenin] - La rivière Bananier à Capesterre-Belle-Eau [Pont Thévenin]","","","","0.95","1"
"16.0250008","-61.6154131","11340002","[riviere Bananier] à Capesterre-Belle-Eau [Déversoir à l'échelle]","","","0.588","0.95","18"
"16.0250008","-61.6154131","1134000201","[riviere Bananier] à Capesterre-Belle-Eau [Déversoir à l'échelle] - La rivière Bananier à Capesterre-Belle-Eau [Déversoir à l'échelle]","","","0.588","0.95","18"
"16.0249999","-61.6152822","11340003","[rivière Bananier] à Capesterre-Belle-Eau [Déversoir au limnigraphe]","","","0.766","0.95","7"
"16.0249999","-61.6152822","1134000301","[rivière Bananier] à Capesterre-Belle-Eau [Déversoir au limnigraphe] - La rivière Bananier à Capesterre-Belle-Eau [Déversoir au limnigraphe]","","","0.766","0.95","7"
"16.0107595","-61.7392698","12120001","[Rivière des Pères] à Baillif [Rivière des Pères]","","25","16.9","0.95","16"
"16.0107595","-61.7392698","1212000101","[Rivière des Pères] à Baillif [Rivière des Pères] - Baillif","","25","16.9","0.95","16"
"15.9963329","-61.7251528","12130001","[riviere aux Herbes] à Basse-Terre","","","","0.95","0"
"15.9963329","-61.7251528","1213000101","[riviere aux Herbes] à Basse-Terre - La rivière aux Herbes à Basse-Terre","","","","0.95","0"
"15.9892366","-61.7204137","12140001","[Galion] à Basse-Terre","","","","0.95","1"
"15.9892366","-61.7204137","1214000101","[Galion] à Basse-Terre - Galion","","","","0.95","1"
"16.0677426","-61.7185388","12180001","[riviere du Plessis] à Baillif","","","1.33","0.95","16"
"16.0677426","-61.7185388","1218000101","[riviere du Plessis] à Baillif","","","1.33","0.95","16"
"16.1100566","-61.6955198","12200001","[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 570]","","","","0.95","0"
"16.1100566","-61.6955198","1220000101","[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 570] - cote 570","","","","0.95","0"
"16.1016038","-61.7175831","12200002","[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 325]","","","","0.95","2"
"16.1016038","-61.7175831","1220000201","[Grande Riviere de Vieux-Habitants] à Vieux-Habitants [cote 325] - cote 325","","","","0.95","2"
"16.0865369","-61.725181","12210001","[Prise d'eau] à Vieux-Habitants [Barthole]","","19.2","26.9","0.95","22"
"16.0865369","-61.725181","1221000101","[Prise d'eau] à Vieux-Habitants [Barthole] - VIEUX-HABITANTS BARTHOLE","","19.2","26.9","0.95","22"
"16.059657","-61.7599295","12210002","[Pont RN] à Vieux-Habitants","","28.1","51.9","0.95","22"
"16.059657","-61.7599295","1221000201","[Pont RN] à Vieux-Habitants - Vieux-Habitants Pont RN","","28.1","51.9","0.95","22"
"16.0986","-61.7490905","12240001","[riviere Beaugendre] à Vieux-Habitants [cote 77]","","","14.5","0.95","11"
"16.0986","-61.7490905","1224000101","[riviere Beaugendre] à Vieux-Habitants [cote 77] - cote 77","","","14.5","0.95","11"
"16.1622516","-61.7656147","12270001","[pont RD] à Bouillante [Lostau]","","8.8","","0.95","0"
"16.1622516","-61.7656147","1227000101","[pont RD] à Bouillante [Lostau] - lostau","","8.8","","0.95","0"
"16.1607229","-61.7570707","12270002","[riviere Lostau] à Bouillante [cote 70]","","","","0.95","3"
"16.1607229","-61.7570707","1227000201","[riviere Lostau] à Bouillante [cote 70] - La rivière Lostau à Bouillante [cote 70]","","","","0.95","3"
"16.1620224","-61.7505534","12270003","[rivière Lostau] à Bouillante [Déversoir]","","","4.08","0.95","8"
"16.1620224","-61.7505534","1227000301","[rivière Lostau] à Bouillante [Déversoir] - La rivière Lostau à Bouillante [Déversoir]","","","4.08","0.95","8"
"16.2243165","-61.7760394","12320001","La rivière de Petite-Plaine à Pointe-Noire","","14","","0.95","1"
"16.2243165","-61.7760394","1232000101","La rivière de Petite-Plaine à Pointe-Noire","","14","","0.95","1"
"16.0679713","-61.7464778","12320002","[riviere Petite Plaine] à Pointe-Noire [Historique]","","","5.24","0.95","12"
"16.0679713","-61.7464778","1232000201","[riviere Petite Plaine] à Pointe-Noire [Historique] - La rivière Petite Plaine à Pointe-Noire - Historique","","","5.24","0.95","12"
"16.2857467","-61.7905836","12350001","[riviere Ferry] à Deshaies [cote 35]","","","1.55","0.95","8"
"16.2857467","-61.7905836","1235000101","[riviere Ferry] à Deshaies [cote 35] - cote 35","","","1.55","0.95","8"
"16.2967255","-61.7828684","12360001","La rivière Deshaies à Deshaies","","2","","0.95","1"
"16.2967255","-61.7828684","1236000101","La rivière Deshaies à Deshaies","","2","","0.95","1"
"16.2557934","-61.5084683","13110001","[ravine Bacadore] aux Abymes","","","","0.95","0"
"16.2557934","-61.5084683","1311000101","[ravine Bacadore] aux Abymes","","","","0.95","0"
"16.3292906","-61.4408361","13320001","La ravine des Coudes [MAE] à Morne-à-l'Eau","","25","","0.95","0"
"16.3292906","-61.4408361","1332000101","La ravine des Coudes [MAE] à Morne-à-l'Eau","","25","","0.95","0"
"16.4004573","-61.4412151","13500001","[ravine Gaschet] à Petit-Canal","","","","0.95","0"
"16.4004573","-61.4412151","1350000101","[ravine Gaschet] à Petit-Canal - Duval","","","","0.95","0"
"16.4039705","-61.4992455","13550001","[ravine Gaschet] à Port-Louis [Pont RN 6]","","","","0.95","0"
"16.4039705","-61.4992455","1355000101","[ravine Gaschet] à Port-Louis [Pont RN 6]","","","","0.95","0"
"16.4155139","-61.4882674","13550002","[ravine Gaschet] à Port-Louis [Retenue Gachet]","","","","0.95","0"
"16.4155139","-61.4882674","1355000201","[ravine Gaschet] à Port-Louis [Retenue Gachet]","","","","0.95","0"
"16.4411744","-61.5089333","13620001","[ravine Cassis] à Port-Louis [ravine Cassis]","","","","0.95","0"
"16.4411744","-61.5089333","1362000101","[ravine Cassis] à Port-Louis [ravine Cassis] - ravine Cassis","","","","0.95","0"
"16.3119957","-61.322649","14220001","[ravine Gardel] au Moule","","","","0.95","0"
"16.3119957","-61.322649","1422000101","[ravine Gardel] au Moule","","","","0.95","0"
"16.2525204","-61.3790885","15300001","[Ravine Bombo] à Sainte-Anne","","","","0.95","0"
"16.2525204","-61.3790885","1530000101","[Ravine Bombo] à Sainte-Anne","","","","0.95","0"
"16.2174442","-61.4978411","15420001","[Grande Ravine] au Gosier [Pont RN 4]","","","","0.95","0"
"16.2174442","-61.4978411","1542000101","[Grande Ravine] au Gosier [Pont RN 4]","","","","0.95","0"
"15.9350734","-61.289587","16410001","[rivière Saint Louis] à Saint-Louis [Marie-Galante]","","","","0.95","6"
"15.9350734","-61.289587","1641000101","[rivière Saint Louis] à Saint-Louis [Marie-Galante]","","","","0.95","6"
"14.8314978","-61.2255334","20140001","La rivière de l'Anse Céron au Prêcheur","","5","2.84","0.95","11"
"14.8314978","-61.2255334","2014000101","La rivière de l'Anse Céron au Prêcheur","","5","2.84","0.95","11"
"14.8731582","-61.1782564","21010001","La Grande Rivière à Grand'Rivière [Bourg Grand Rivière]","","10","6.49","0.95","11"
"14.8731582","-61.1782564","2101000101","La Grande Rivière à Grand'Rivière [Bourg Grand Rivière] - 1","","10","","0.95","0"
"14.8731582","-61.1782564","2101000102","La Grande Rivière à Grand'Rivière [Bourg Grand Rivière] - 2","","10","6.62","0.95","12"
"14.7766244","-61.1109829","21130001","La rivière Capot au Morne-Rouge [Mackintosh]","","","","0.95","0"
"14.7766244","-61.1109829","2113000101","La rivière Capot au Morne-Rouge [Mackintosh]","","","15.2","0.95","9"
"14.8120581","-61.106496","21150001","La rivière Capot au Lorrain [Saut Babin]","34","","","0.95","0"
"14.8120581","-61.106496","2115000101","La rivière Capot au Lorrain [Saut Babin]","34","","","0.95","5"
"14.831862","-61.0964476","21150002","La rivière Capot au Lorrain [Vivé-capot]","","","","0.95","0"
"14.831862","-61.0964476","2115000201","La rivière Capot au Lorrain [Vivé-capot]","","","","0.95","0"
"14.8047904","-61.1018682","21160001","La rivière Pirogue au Lorrain [Pont Desgrottes]","8","8","","0.95","0"
"14.8047904","-61.1018682","2116000101","La rivière Pirogue au Lorrain [Pont Desgrottes]","8","8","10.2","0.95","16"
"14.7881616","-61.0555047","22050001","La rivière du Lorrain au Lorrain [SCNA]","","26","23.3","0.95","8"
"14.7881616","-61.0555047","2205000101","La rivière du Lorrain au Lorrain [SCNA]","","26","23.3","0.95","8"
"14.7798093","-61.0591764","22050002","La rivière du Lorrain au Lorrain [confluence Pirogue]","25","","","0.95","0"
"14.7798093","-61.0591764","2205000201","La rivière du Lorrain au Lorrain [confluence Pirogue]","25","","","0.95","2"
"14.7967357","-61.0570754","22050003","La rivière du Lorrain au Lorrain [Pont de la Pirogue]","29","29","","0.95","0"
"14.7967357","-61.0570754","2205000301","La rivière du Lorrain au Lorrain [Pont de la Pirogue]","29","29","","0.95","1"
"14.7730348","-61.0069365","22110001","La rivière de Bezaudin à Sainte-Marie [Sainte-Marie]","","","","0.95","0"
"14.7730348","-61.0069365","2211000101","La rivière de Bezaudin à Sainte-Marie [Sainte-Marie]","","","","0.95","0"
"14.7308691","-61.037962","22210001","La rivière du Galion Bras Gommier Percé à Gros-Morne [Bras-Gommier]","","1","1.22","0.95","10"
"14.7308691","-61.037962","2221000101","La rivière du Galion Bras Gommier Percé à Gros-Morne [Bras-Gommier]","","1","1.22","0.95","10"
"14.717008","-60.9603373","22250001","La rivière du Galion à la Trinité [Grand Galion]","","36","","0.95","5"
"14.717008","-60.9603373","2225000101","La rivière du Galion à la Trinité [Grand Galion]","","36","","0.95","5"
"14.7304835","-60.9879777","22250002","La rivière du Galion à la Trinité [Bassignac]","","","","0.95","0"
"14.7304835","-60.9879777","2225000201","La rivière du Galion à la Trinité [Bassignac]","","","5.03","0.95","17"
"14.7295215","-60.9817061","22250003","La rivière du Galion à la Trinité [bassignac]","","","","0.95","0"
"14.7295215","-60.9817061","2225000301","La rivière du Galion à la Trinité [bassignac]","","","","0.95","0"
"14.6616867","-61.0928683","23010001","La rivière Dumauzé à Fort-de-France [Didier]","","4","","0.95","3"
"14.6616867","-61.0928683","2301000101","La rivière Dumauzé à Fort-de-France [Didier]","","4","","0.95","3"
"14.6767533","-61.0974909","23010002","La rivière Dumauzé à Fort-de-France [Absalon]","10","10","","0.95","0"
"14.6767533","-61.0974909","2301000201","La rivière Dumauzé à Fort-de-France [Absalon]","10","10","","0.95","0"
"14.6184846","-61.1002879","23020001","La rivière Case-Navire à Schœlcher [Anse Madame]","","15","","0.95","5"
"14.6184846","-61.1002879","2302000101","La rivière Case-Navire à Schœlcher [Anse Madame]","","15","","0.95","5"
"14.6265011","-61.0978874","23020002","La rivière Case-Navire à Schœlcher [Fond Rousseau]","","","","0.95","0"
"14.6265011","-61.0978874","2302000201","La rivière Case-Navire à Schœlcher [Fond Rousseau]","","","","0.95","6"
"14.6178533","-61.1000554","23020003","La rivière Case-Navire à Schœlcher [case navire]","","","","0.95","0"
"14.6178533","-61.1000554","2302000301","La rivière Case-Navire à Schœlcher [case navire] - Case Navire","","","","0.95","0"
"14.7295178","-61.1413014","23200001","La rivière du Carbet à Fonds-Saint-Denis [fond mascret]","","","","0.95","0"
"14.7295178","-61.1413014","2320000101","La rivière du Carbet à Fonds-Saint-Denis [fond mascret]","","","","0.95","0"
"14.7149606","-61.1690829","23220001","La rivière du Carbet au Carbet [Fond Baise]","","","","0.95","4"
"14.7149606","-61.1690829","2322000101","La rivière du Carbet au Carbet [Fond Baise]","","","","0.95","4"
"14.7574575","-61.1634591","23280001","La Roxelane à Saint-Pierre [Pecoul]","","","","0.95","0"
"14.7574575","-61.1634591","2328000101","La Roxelane à Saint-Pierre [Pecoul]","","","","0.95","0"
"14.7491272","-61.1763081","23290001","La Roxelane à Saint-Pierre [Bourg Saint Pierre]","","20","","0.95","4"
"14.7491272","-61.1763081","2329000101","La Roxelane à Saint-Pierre [Bourg Saint Pierre]","","20","","0.95","4"
"14.6488541","-61.0163053","24020001","La rivière du Longvilliers au Lamentin [Baleu]","","","","0.95","3"
"14.6488541","-61.0163053","2402000101","La rivière du Longvilliers au Lamentin [Baleu]","","","","0.95","3"
"14.6324742","-61.0239312","24040001","La Gondeau au Lamentin [Pont de Gondeau]","","","","0.95","0"
"14.6324742","-61.0239312","2404000101","La Gondeau au Lamentin [Pont de Gondeau]","","","","0.95","0"
"14.6329676","-61.0349794","24140001","La Jambette à Fort-de-France [Jambette]","","","","0.95","0"
"14.6329676","-61.0349794","2414000101","La Jambette à Fort-de-France [Jambette] - favorite","","","","0.95","0"
"14.6168984","-61.0712694","24230001","La rivière Madame à Fort-de-France [Pont de Chaine]","","11","6.25","0.95","7"
"14.6168984","-61.0712694","2423000101","La rivière Madame à Fort-de-France [Pont de Chaine] - 1","","11","","0.95","0"
"14.6168984","-61.0712694","2423000102","La rivière Madame à Fort-de-France [Pont de Chaine] - 2","","11","6.25","0.95","7"
"14.6152735","-61.072165","24230002","La rivière Madame à Fort-de-France [Pont de la Cartonnerie]","","","","0.95","0"
"14.6152735","-61.072165","2423000201","La rivière Madame à Fort-de-France [Pont de la Cartonnerie]","","","","0.95","0"
"14.7163317","-61.0488436","25010001","La Lézarde à Gros-Morne [Palourde]","","4","2.11","0.95","10"
"14.7163317","-61.0488436","2501000101","La Lézarde à Gros-Morne [Palourde]","","4","2.11","0.95","10"
"14.7095594","-61.0334284","25030001","La Lézarde à Gros-Morne [Lézarde 2]","","13","9.37","0.95","40"
"14.7095594","-61.0334284","2503000101","La Lézarde à Gros-Morne [Lézarde 2]","","13","9.37","0.95","40"
"14.7033806","-61.026201","25030002","La Lézarde à Gros-Morne [rd-15-b- Lezarde]","","","","0.95","0"
"14.7033806","-61.026201","2503000201","La Lézarde à Gros-Morne [rd-15-b- Lezarde]","","","","0.95","0"
"14.7006496","-61.0225312","25030003","La Lézarde à Gros-Morne [Tronc commun]","","","","0.95","0"
"14.7006496","-61.0225312","2503000301","La Lézarde à Gros-Morne [Tronc commun]","","","","0.95","0"
"14.6759512","-60.9936898","25040001","La rivière Petite Lézarde à Gros-Morne [Saint Maurice]","","10","4.66","0.95","10"
